"repeat_id","outer_fold","arm","best_cost","cost","mean_inner_balanced_accuracy"
13,4,"guarded_within_partition",1,0.25,0.54042735042735
13,4,"guarded_within_partition",1,1,0.545363247863248
13,4,"guarded_within_partition",1,4,0.536752136752137
13,5,"leaky_global_selection",0.25,0.25,0.559935897435897
13,5,"leaky_global_selection",0.25,1,0.537777777777778
13,5,"leaky_global_selection",0.25,4,0.537777777777778
13,5,"guarded_within_partition",0.25,0.25,0.583141025641026
13,5,"guarded_within_partition",0.25,1,0.569529914529915
13,5,"guarded_within_partition",0.25,4,0.568354700854701
14,1,"leaky_global_selection",1,0.25,0.531944444444444
14,1,"leaky_global_selection",1,1,0.535555555555556
14,1,"leaky_global_selection",1,4,0.526944444444444
14,1,"guarded_within_partition",0.25,0.25,0.557777777777778
14,1,"guarded_within_partition",0.25,1,0.553888888888889
14,1,"guarded_within_partition",0.25,4,0.548888888888889
14,2,"leaky_global_selection",4,0.25,0.557713675213675
14,2,"leaky_global_selection",4,1,0.56474358974359
14,2,"leaky_global_selection",4,4,0.569807692307692
14,2,"guarded_within_partition",0.25,0.25,0.561260683760684
14,2,"guarded_within_partition",0.25,1,0.537457264957265
14,2,"guarded_within_partition",0.25,4,0.512735042735043
14,3,"leaky_global_selection",0.25,0.25,0.628269230769231
14,3,"leaky_global_selection",0.25,1,0.580213675213675
14,3,"leaky_global_selection",0.25,4,0.588824786324786
14,3,"guarded_within_partition",0.25,0.25,0.653333333333333
14,3,"guarded_within_partition",0.25,1,0.596388888888889
14,3,"guarded_within_partition",0.25,4,0.603888888888889
14,4,"leaky_global_selection",0.25,0.25,0.517222222222222
14,4,"leaky_global_selection",0.25,1,0.5025
14,4,"leaky_global_selection",0.25,4,0.4975
14,4,"guarded_within_partition",1,0.25,0.489722222222222
14,4,"guarded_within_partition",1,1,0.502222222222222
14,4,"guarded_within_partition",1,4,0.502222222222222
14,5,"leaky_global_selection",0.25,0.25,0.583888888888889
14,5,"leaky_global_selection",0.25,1,0.571260683760684
14,5,"leaky_global_selection",0.25,4,0.55758547008547
14,5,"guarded_within_partition",1,0.25,0.553632478632479
14,5,"guarded_within_partition",1,1,0.558568376068376
14,5,"guarded_within_partition",1,4,0.547393162393162
15,1,"leaky_global_selection",0.25,0.25,0.556538461538462
15,1,"leaky_global_selection",0.25,1,0.51715811965812
15,1,"leaky_global_selection",0.25,4,0.540491452991453
15,1,"guarded_within_partition",4,0.25,0.536410256410256
15,1,"guarded_within_partition",4,1,0.534102564102564
15,1,"guarded_within_partition",4,4,0.539102564102564
15,2,"leaky_global_selection",0.25,0.25,0.622094017094017
15,2,"leaky_global_selection",0.25,1,0.560149572649573
15,2,"leaky_global_selection",0.25,4,0.563696581196581
15,2,"guarded_within_partition",1,0.25,0.582435897435897
15,2,"guarded_within_partition",1,1,0.603547008547008
15,2,"guarded_within_partition",1,4,0.598547008547008
15,3,"leaky_global_selection",0.25,0.25,0.568717948717949
15,3,"leaky_global_selection",0.25,1,0.544059829059829
15,3,"leaky_global_selection",0.25,4,0.562606837606838
15,3,"guarded_within_partition",0.25,0.25,0.568354700854701
15,3,"guarded_within_partition",0.25,1,0.546132478632479
15,3,"guarded_within_partition",0.25,4,0.551132478632479
15,4,"leaky_global_selection",1,0.25,0.596132478632479
15,4,"leaky_global_selection",1,1,0.612371794871795
15,4,"leaky_global_selection",1,4,0.609871794871795
15,4,"guarded_within_partition",0.25,0.25,0.547799145299145
15,4,"guarded_within_partition",0.25,1,0.535299145299145
15,4,"guarded_within_partition",0.25,4,0.526688034188034
15,5,"leaky_global_selection",0.25,0.25,0.578611111111111
15,5,"leaky_global_selection",0.25,1,0.535555555555556
15,5,"leaky_global_selection",0.25,4,0.544166666666667
15,5,"guarded_within_partition",0.25,0.25,0.541388888888889
15,5,"guarded_within_partition",0.25,1,0.527777777777778
15,5,"guarded_within_partition",0.25,4,0.530277777777778
16,1,"leaky_global_selection",0.25,0.25,0.608824786324786
16,1,"leaky_global_selection",0.25,1,0.576474358974359
16,1,"leaky_global_selection",0.25,4,0.589038461538462
16,1,"guarded_within_partition",0.25,0.25,0.578760683760684
16,1,"guarded_within_partition",0.25,1,0.560149572649573
16,1,"guarded_within_partition",0.25,4,0.552649572649573
16,2,"leaky_global_selection",4,0.25,0.53042735042735
16,2,"leaky_global_selection",4,1,0.552521367521367
16,2,"leaky_global_selection",4,4,0.561196581196581
16,2,"guarded_within_partition",0.25,0.25,0.544102564102564
16,2,"guarded_within_partition",0.25,1,0.541602564102564
16,2,"guarded_within_partition",0.25,4,0.541602564102564
16,3,"leaky_global_selection",0.25,0.25,0.599871794871795
16,3,"leaky_global_selection",0.25,1,0.518269230769231
16,3,"leaky_global_selection",0.25,4,0.515769230769231
16,3,"guarded_within_partition",0.25,0.25,0.588888888888889
16,3,"guarded_within_partition",0.25,1,0.570277777777778
16,3,"guarded_within_partition",0.25,4,0.562777777777778
16,4,"leaky_global_selection",0.25,0.25,0.583418803418803
16,4,"leaky_global_selection",0.25,1,0.535491452991453
16,4,"leaky_global_selection",0.25,4,0.514252136752137
16,4,"guarded_within_partition",0.25,0.25,0.557435897435897
16,4,"guarded_within_partition",0.25,1,0.540213675213675
16,4,"guarded_within_partition",0.25,4,0.551324786324786
16,5,"leaky_global_selection",4,0.25,0.567777777777778
16,5,"leaky_global_selection",4,1,0.59
16,5,"leaky_global_selection",4,4,0.601111111111111
16,5,"guarded_within_partition",1,0.25,0.525833333333333
16,5,"guarded_within_partition",1,1,0.526944444444444
16,5,"guarded_within_partition",1,4,0.518333333333333
17,1,"leaky_global_selection",4,0.25,0.582371794871795
17,1,"leaky_global_selection",4,1,0.579871794871795
17,1,"leaky_global_selection",4,4,0.610705128205128
17,1,"guarded_within_partition",1,0.25,0.571260683760684
17,1,"guarded_within_partition",1,1,0.597094017094017
17,1,"guarded_within_partition",1,4,0.592094017094017
17,2,"leaky_global_selection",0.25,0.25,0.571388888888889
17,2,"leaky_global_selection",0.25,1,0.540555555555556
17,2,"leaky_global_selection",0.25,4,0.523333333333333
17,2,"guarded_within_partition",0.25,0.25,0.542777777777778
17,2,"guarded_within_partition",0.25,1,0.520555555555556
17,2,"guarded_within_partition",0.25,4,0.509444444444444
17,3,"leaky_global_selection",1,0.25,0.648269230769231
17,3,"leaky_global_selection",1,1,0.684102564102564
